reaction_id	reaction_id_type	components	Reaction	mel_type	bridge_position
m_273232ibbra	273232	3.0	([Np]-[*:1].[*:2]-[U]).[U]-[*:3].[*:4]-[Np]>>([*:4]-[*:1].[*:2]-[*:3])	bridge	1.0
m_273232ibbva	273232	3.0	([Np]-[*:1].[*:2]-[U]).[U]-[*:3].[*:4]-[Np]>>([*:4]-[*:1].[*:2]-[*:3])	bridge	1.0
m_273232ibbwb	273232	3.0	([Np]-[*:1].[*:2]-[U]).[U]-[*:3].[*:4]-[Np]>>([*:4]-[*:1].[*:2]-[*:3])	bridge	1.0
m_273232ibbxa	273232	3.0	([Np]-[*:1].[*:2]-[U]).[U]-[*:3].[*:4]-[Np]>>([*:4]-[*:1].[*:2]-[*:3])	bridge	1.0
m_273232ibbxb	273232	3.0	([Np]-[*:1].[*:2]-[U]).[U]-[*:3].[*:4]-[Np]>>([*:4]-[*:1].[*:2]-[*:3])	bridge	1.0
m_273232ibbya	273232	3.0	([Np]-[*:1].[*:2]-[U]).[U]-[*:3].[*:4]-[Np]>>([*:4]-[*:1].[*:2]-[*:3])	bridge	1.0
m_273232ibbyb	273232	3.0	([Np]-[*:1].[*:2]-[U]).[U]-[*:3].[*:4]-[Np]>>([*:4]-[*:1].[*:2]-[*:3])	bridge	1.0
m_273232ibbza	273232	3.0	([Np]-[*:1].[*:2]-[U]).[U]-[*:3].[*:4]-[Np]>>([*:4]-[*:1].[*:2]-[*:3])	bridge	1.0
m_273232ibbzb	273232	3.0	([Np]-[*:1].[*:2]-[U]).[U]-[*:3].[*:4]-[Np]>>([*:4]-[*:1].[*:2]-[*:3])	bridge	1.0
m_273232ibbwa	273232	3.0	([Np]-[*:1].[*:2]-[U]).[U]-[*:3].[*:4]-[Np]>>([*:4]-[*:1].[*:2]-[*:3])	bridge	1.0
m_273232ibbjb	273232	3.0	([Np]-[*:1].[*:2]-[U]).[U]-[*:3].[*:4]-[Np]>>([*:4]-[*:1].[*:2]-[*:3])	bridge	1.0
m_273232ibbqb	273232	3.0	([Np]-[*:1].[*:2]-[U]).[U]-[*:3].[*:4]-[Np]>>([*:4]-[*:1].[*:2]-[*:3])	bridge	1.0
m_273232ibbpb	273232	3.0	([Np]-[*:1].[*:2]-[U]).[U]-[*:3].[*:4]-[Np]>>([*:4]-[*:1].[*:2]-[*:3])	bridge	1.0
m_273232ibbjd	273232	3.0	([Np]-[*:1].[*:2]-[U]).[U]-[*:3].[*:4]-[Np]>>([*:4]-[*:1].[*:2]-[*:3])	bridge	1.0
m_273232ibbkb	273232	3.0	([Np]-[*:1].[*:2]-[U]).[U]-[*:3].[*:4]-[Np]>>([*:4]-[*:1].[*:2]-[*:3])	bridge	1.0
m_273232ibbkc	273232	3.0	([Np]-[*:1].[*:2]-[U]).[U]-[*:3].[*:4]-[Np]>>([*:4]-[*:1].[*:2]-[*:3])	bridge	1.0
m_273232ibbla	273232	3.0	([Np]-[*:1].[*:2]-[U]).[U]-[*:3].[*:4]-[Np]>>([*:4]-[*:1].[*:2]-[*:3])	bridge	1.0
m_273232ibblb	273232	3.0	([Np]-[*:1].[*:2]-[U]).[U]-[*:3].[*:4]-[Np]>>([*:4]-[*:1].[*:2]-[*:3])	bridge	1.0
m_273232ibblc	273232	3.0	([Np]-[*:1].[*:2]-[U]).[U]-[*:3].[*:4]-[Np]>>([*:4]-[*:1].[*:2]-[*:3])	bridge	1.0
m_273232ibbma	273232	3.0	([Np]-[*:1].[*:2]-[U]).[U]-[*:3].[*:4]-[Np]>>([*:4]-[*:1].[*:2]-[*:3])	bridge	1.0
m_273232ibbqa	273232	3.0	([Np]-[*:1].[*:2]-[U]).[U]-[*:3].[*:4]-[Np]>>([*:4]-[*:1].[*:2]-[*:3])	bridge	1.0
m_273232ibbmb	273232	3.0	([Np]-[*:1].[*:2]-[U]).[U]-[*:3].[*:4]-[Np]>>([*:4]-[*:1].[*:2]-[*:3])	bridge	1.0
m_273232ibbna	273232	3.0	([Np]-[*:1].[*:2]-[U]).[U]-[*:3].[*:4]-[Np]>>([*:4]-[*:1].[*:2]-[*:3])	bridge	1.0
m_273232ibbnb	273232	3.0	([Np]-[*:1].[*:2]-[U]).[U]-[*:3].[*:4]-[Np]>>([*:4]-[*:1].[*:2]-[*:3])	bridge	1.0
m_273232ibbnc	273232	3.0	([Np]-[*:1].[*:2]-[U]).[U]-[*:3].[*:4]-[Np]>>([*:4]-[*:1].[*:2]-[*:3])	bridge	1.0
m_273232ibboa	273232	3.0	([Np]-[*:1].[*:2]-[U]).[U]-[*:3].[*:4]-[Np]>>([*:4]-[*:1].[*:2]-[*:3])	bridge	1.0
m_273232ibbob	273232	3.0	([Np]-[*:1].[*:2]-[U]).[U]-[*:3].[*:4]-[Np]>>([*:4]-[*:1].[*:2]-[*:3])	bridge	1.0
m_273232ibboc	273232	3.0	([Np]-[*:1].[*:2]-[U]).[U]-[*:3].[*:4]-[Np]>>([*:4]-[*:1].[*:2]-[*:3])	bridge	1.0
m_273232ibbpa	273232	3.0	([Np]-[*:1].[*:2]-[U]).[U]-[*:3].[*:4]-[Np]>>([*:4]-[*:1].[*:2]-[*:3])	bridge	1.0
m_273232ibbmc	273232	3.0	([Np]-[*:1].[*:2]-[U]).[U]-[*:3].[*:4]-[Np]>>([*:4]-[*:1].[*:2]-[*:3])	bridge	1.0
m_273232bbbyb	273232	3.0	([Np]-[*:1].[*:2]-[U]).[U]-[*:3].[*:4]-[Np]>>([*:4]-[*:1].[*:2]-[*:3])	bridge	1.0
